Date,Close,Trends,Score,Number
2018/4/7,6911.089844,54.0,0.493741213,641
2018/4/8,7023.52002,48.0,0.735012755,769
2018/4/9,6770.72998,60.0,0.458788151,671
2018/4/10,6834.759766,60.0,0.543052225,1034
2018/4/11,6968.319824,54.0,0.420679295,931
2018/4/12,7889.25,66.0,0.58782574,823
2018/4/13,7895.959961,66.0,0.703648863,939
2018/4/14,7986.240234,54.0,0.179323622,854
2018/4/15,8329.110352,48.0,0.575033553,778
2018/4/16,8058.669922,54.0,0.687744395,671
2018/4/17,7902.089844,54.0,0.477473061,813
2018/4/18,8163.419922,48.0,0.710701584,785
2018/4/19,8294.30957,54.0,0.883338161,968
2018/4/20,8845.830078,60.0,0.629491408,675
2018/4/21,8895.580078,48.0,0.809003075,723
2018/4/22,8802.459961,48.0,0.635517282,620
2018/4/23,8930.879883,54.0,0.743552951,1035
2018/4/24,9697.5,66.0,0.620226749,1040
2018/4/25,8845.740234,60.0,0.611439908,735
2018/4/26,9281.509766,48.0,0.705003649,1077
2018/4/27,8987.049805,48.0,0.720156947,693
2018/4/28,9348.480469,42.0,0.678702204,922
2018/4/29,9419.080078,42.0,0.809179404,1274
2018/4/30,9240.549805,48.0,0.623701236,745
2018/5/1,9119.009766,48.0,0.506548312,757
2018/5/2,9235.919922,45.0,0.782570951,758
2018/5/3,9743.860352,46.5,0.762252014,779
2018/5/4,9700.759766,48.75,0.90755044,1160
2018/5/5,9858.150391,45.75,0.746227937,863
2018/5/6,9654.799805,43.5,0.861069642,1049
2018/5/7,9373.009766,51.0,0.927735393,1284
2018/5/8,9234.820313,48.75,0.756456714,756
2018/5/9,9325.179688,45.75,0.490663392,716
2018/5/10,9043.94043,47.25,0.379931049,967
2018/5/11,8441.490234,54.0,0.670250458,879
2018/5/12,8504.889648,44.25,0.427644582,735
2018/5/13,8723.94043,39.75,0.559606426,804
2018/5/14,8716.790039,48.0,0.753425952,696
2018/5/15,8510.379883,42.0,0.735447405,790
2018/5/16,8368.830078,43.5,0.376590144,869
2018/5/17,8094.319824,42.0,0.646791714,790
2018/5/18,8250.969727,40.5,0.730771207,647
2018/5/19,8247.179688,32.25,0.803354747,658
2018/5/20,8513.25,34.5,0.463684003,583
2018/5/21,8418.990234,39.75,0.614989598,595
2018/5/22,8041.779785,41.25,0.604478787,829
2018/5/23,7557.819824,50.25,0.382231302,681
2018/5/24,7587.339844,46.5,0.270283814,850
2018/5/25,7480.140137,41.25,0.451683871,547
2018/5/26,7355.879883,34.5,0.686482793,565
2018/5/27,7368.220215,39.75,0.541227435,462
2018/5/28,7135.990234,42.75,0.758222732,741
2018/5/29,7472.589844,42.75,0.152984427,581
2018/5/30,7406.52002,40.5,0.552548137,654
2018/5/31,7494.169922,39.0,0.647855422,741
2018/6/1,7541.450195,34.5,0.915832977,676
2018/6/2,7643.450195,34.5,0.482355339,577
2018/6/3,7720.25,33.0,0.698547019,706
2018/6/4,7514.470215,34.5,0.606630228,513
2018/6/5,7633.759766,37.5,0.520248366,705
2018/6/6,7653.97998,37.5,0.933175231,573
2018/6/7,7678.240234,36.0,0.798876721,560
2018/6/8,7624.919922,34.5,0.862866652,628
2018/6/9,7531.97998,30.0,0.704940778,669
2018/6/10,6786.02002,44.25,0.63908352,592
2018/6/11,6906.919922,57.0,0.411415282,665
2018/6/12,6582.359863,45.0,0.954302493,1055
2018/6/13,6349.899902,53.25,0.850733549,921
2018/6/14,6675.350098,46.5,0.797454254,658
2018/6/15,6456.580078,39.75,0.494562486,521
2018/6/16,6550.160156,33.75,0.520842232,789
2018/6/17,6499.27002,33.0,0.761743496,493
2018/6/18,6734.819824,38.25,0.219975817,581
2018/6/19,6769.939941,37.5,0.514030315,546
2018/6/20,6776.549805,39.0,0.440433464,669
2018/6/21,6729.740234,33.75,0.726442624,504
2018/6/22,6083.689941,45.75,0.40101259,621
2018/6/23,6162.47998,39.0,-0.055969015,774
2018/6/24,6173.22998,45.75,0.312188049,512
2018/6/25,6249.180176,41.25,0.792604623,667
2018/6/26,6093.669922,36.75,0.528405161,615
2018/6/27,6157.129883,36.75,0.390138451,619
2018/6/28,5903.439941,37.5,-0.173982295,720
2018/6/29,6218.299805,47.25,0.413698354,588
2018/6/30,6404.0,38.25,-0.099889828,594
2018/7/1,6385.819824,33.0,0.588880198,517
2018/7/2,6614.180176,39.0,0.668500595,498
2018/7/3,6529.589844,38.25,0.657036086,638
2018/7/4,6597.549805,37.5,0.57733043,581
